stationid,lat,lon
2331,-34.8199996948242,-58.5299987792969
2664,-45.7799987792969,-67.5
2997,-31.3199996948242,-64.2200012207031
3330,-34.9700012207031,-57.9000015258789
3996,-37.9300003051758,-57.5800018310547
4329,-38.9500007629395,-68.129997253418
4662,-29.1800003051758,-59.6699981689453
4995,-32.9199981689453,-60.7799987792969
5661,-26.8500003814697,-65.0999984741211
5994,35.0200004577637,71.3499984741211
6327,34.2200012207031,62.2200012207031
6660,34.5299987792969,69.1800003051758
6993,31.6200008392334,65.7200012207031
7326,-7.96999979019165,-14.3999996185303
7659,40.4599990844727,50.0699996948242
7992,36.7200012207031,3.25
8325,36.2799987792969,6.61999988555908
8658,36.2700004577637,2.75
8991,35.6300010681152,-0.600000023841858
10323,-8.85000038146973,13.2399997711182
10656,17.1200008392334,-61.7799987792969
10989,17.2999992370605,-62.6800003051758
11322,-34.9199981689453,138.520004272461
11655,-34.9300003051758,117.800003051758
11988,-36.0800018310547,146.949996948242
12321,-23.7900009155273,133.910003662109
12654,-37.2799987792969,142.979995727539
12987,-30.5300006866455,151.669998168945
14652,-33.4300003051758,149.570007324219
14985,-36.6699981689453,149.820007324219
16650,-20.0200004577637,148.199996948242
16983,-27.3700008392334,153.100006103516
18315,-16.8700008392334,145.75
18648,-35.2999992370605,149.190002441406
18981,-16.3999996185303,122.930000305176
19314,-24.8700008392334,113.669998168945
19647,-32.1199989318848,133.699996948242
20979,-31.4799995422363,145.830001831055
21312,-30.3199996948242,153.119995117188
21978,-33.0699996948242,147.220001220703
22311,-29,134.75
23310,-12.3999996185303,130.869995117188
24309,-32.2000007629395,148.570007324219
24642,-36.1500015258789,144.75
24975,-33.8199996948242,121.879997253418
25308,-36.8499984741211,147.270004272461
25974,-32.0499992370605,115.769996643066
26307,-38.0800018310547,144.330001831055
26640,-28.7800006866455,114.699996948242
26973,-23.8500003814697,151.270004272461
27306,-27.9500007629395,153.429992675781
27972,-34.7200012207031,149.729995727539
28638,-34.3199996948242,146.070007324219
29637,-42.8800010681152,147.330001831055
29970,-29.7800006866455,151.119995117188
30303,-27.6200008392334,152.75
30636,-30.7700004577637,121.449996948242
31302,-33.7200012207031,150.279998779297
32967,-41.4199981689453,147.119995117188
33633,-28.7999992370605,153.25
34632,-21.1200008392334,149.220001220703
35631,-32.5200004577637,115.730003356934
36297,-33.9300003051758,151.199996948242
36630,-26.6000003814697,118.529998779297
36963,-37.6599998474121,144.830001831055
37296,-36.9000015258789,149.899993896484
37962,-28.1200008392334,140.220001220703
38295,-29.4699993133545,149.850006103516
38628,-37.1500015258789,146.429992675781
40626,-32.5800018310547,149.580001831055
40959,-26.6299991607666,152.929992675781
41625,-32.9199981689453,151.779998779297
41958,-36.3499984741211,141.649993896484
